iter	RMSE
0	1.817939778
1	1.777760994
2	1.742756817
3	1.705679663
4	1.671992356
5	1.640395897
6	1.609219396
7	1.579758258
8	1.54804525
9	1.516146707
10	1.485047367
11	1.453782842
12	1.425065951
13	1.396070106
14	1.370561558
15	1.344920152
16	1.316746458
17	1.295360545
18	1.273715277
19	1.252801879
20	1.231237956
21	1.211036506
22	1.188537073
23	1.169904372
24	1.149376398
25	1.130355933
26	1.112713301
27	1.09429783
28	1.078363195
29	1.063875722
30	1.045448968
31	1.029664513
32	1.014060539
33	1.001046159
34	0.9858203226
35	0.9713815261
36	0.9552081466
37	0.9412387495
38	0.9257500979
39	0.9117268837
40	0.9001600335
41	0.8877676992
42	0.8750157081
43	0.8613759111
44	0.8503402935
45	0.839060662
46	0.8278295937
47	0.8208643695
48	0.811791336
49	0.7992615731
50	0.7897992573
51	0.7807590118
52	0.7724644398
53	0.7626678604
54	0.7508354289
55	0.7419583672
56	0.732591561
57	0.7222181709
58	0.7137697952
59	0.7066353765
60	0.6982712896
61	0.6893655382
62	0.6797135229
63	0.6722385449
64	0.6644498907
65	0.6573579115
66	0.651499056
67	0.6446637257
68	0.6371073096
69	0.6313824652
70	0.6248029873
71	0.6193922607
72	0.6133732627
73	0.6076777766
74	0.6022194504
75	0.5953965129
76	0.5899987314
77	0.5848196151
78	0.5803779834
79	0.5750745911
80	0.5702342919
81	0.5645912036
82	0.5590214138
83	0.5544179325
84	0.5497532178
85	0.5448371179
86	0.541509861
87	0.5381366344
88	0.5339533224
89	0.5305251893
90	0.5269488687
91	0.5225981812
92	0.5180671003
93	0.5139200063
94	0.5106784661
95	0.5061484319
96	0.5014770018
97	0.4979513748
98	0.4937978237
99	0.489553746
100	0.4874115869
101	0.4831494575
102	0.4805012817
103	0.4770236599
104	0.4745506045
105	0.4710724665
106	0.4684140269
107	0.4674083864
108	0.4647635043
109	0.462005149
110	0.4600613164
111	0.456835903
112	0.4540087756
113	0.4506536143
114	0.44750417
115	0.4458076192
116	0.4431406308
117	0.439937267
118	0.4384202571
119	0.4363232086
120	0.4345893951
121	0.4319893751
122	0.4287485849
123	0.4261763828
124	0.4241163859
125	0.4218772251
126	0.4188954842
127	0.4162701479
128	0.4145707915
129	0.4124758555
130	0.4094672009
131	0.4079102868
132	0.4057397848
133	0.4045229665
134	0.4023288017
135	0.4003180132
136	0.3978036656
137	0.3962533019
138	0.3943897823
139	0.3920909694
140	0.3905115381
141	0.388895179
142	0.3862916445
143	0.3844270178
144	0.3826527487
145	0.3803386217
146	0.3780818467
147	0.3764596435
148	0.3746414721
149	0.3731941307
150	0.3719330475
151	0.3705421322
152	0.3685373686
153	0.3673621652
154	0.3659070959
155	0.3643884658
156	0.3629541646
157	0.3617926124
158	0.360200152
159	0.3586434463
160	0.3574117352
161	0.3558461367
162	0.3545292154
163	0.3526709599
164	0.3512181222
165	0.3491342586
166	0.3474970006
167	0.3462171052
168	0.3444124694
169	0.3424462849
170	0.3406959561
171	0.338884055
172	0.3376719953
173	0.3365631165
174	0.3347559038
175	0.333463582
176	0.3315999165
177	0.3300682112
178	0.3283089353
179	0.3273238241
180	0.3260083343
181	0.3245643236
182	0.3231099916
183	0.3220329964
184	0.3205431822
185	0.3183324719
186	0.3170157956
187	0.3153032457
188	0.3138546391
189	0.3127495498
190	0.3107269247
191	0.3086942245
192	0.3071007529
193	0.3055920526
194	0.3038244967
195	0.3028171914
196	0.3015130721
197	0.300724859
198	0.2989933579
199	0.2972715117
200	0.295525684
201	0.2946484117
202	0.2935562804
203	0.2924521246
204	0.2902522177
205	0.2886093581
206	0.2876668865
207	0.2863204102
208	0.2851559559
209	0.2840398816
210	0.2835138575
211	0.282504122
212	0.2814523965
213	0.2799558944
214	0.2785591602
215	0.2779391385
216	0.2768809342
217	0.2755842789
218	0.2743424425
219	0.2732550626
220	0.2724922207
221	0.2713333157
222	0.2705943915
223	0.2691895297
224	0.268282732
225	0.2673642529
226	0.2666855082
227	0.2658470904
228	0.2647954478
229	0.2640171027
230	0.2633627314
231	0.2627795606
232	0.2621970328
233	0.2610238112
234	0.2603634191
235	0.2590630395
236	0.2573213069
237	0.25647454
238	0.2556550334
239	0.2551440697
240	0.2536060047
241	0.2529966019
242	0.251537522
243	0.2503070145
244	0.2498327087
245	0.2486472477
246	0.2482480268
247	0.2478434999
248	0.2468585383
249	0.2465727456
250	0.2454222538
251	0.2446919816
252	0.243862442
253	0.2429534462
254	0.2418162781
255	0.2411255327
256	0.2408186177
257	0.2398078
258	0.2385778522
259	0.2382607711
260	0.2375117318
261	0.2369733513
262	0.2365387019
263	0.2360249177
264	0.2351685871
265	0.2345585528
266	0.2338715514
267	0.2329021828
268	0.2323154571
269	0.2316201657
270	0.2308534376
271	0.2296273279
272	0.2288433041
273	0.2276228509
274	0.2267498075
275	0.2258114799
276	0.2248561898
277	0.2239228481
278	0.2232061509
279	0.2224404232
280	0.2211617762
281	0.2208397577
282	0.2196935759
283	0.2190615072
284	0.2184328214
285	0.2178415569
286	0.2163831208
287	0.2159994793
288	0.214864924
289	0.2145180926
290	0.2142220304
291	0.2133221878
292	0.2130456725
293	0.211944389
294	0.2113841372
295	0.2108346127
296	0.2102137523
297	0.2097622513
298	0.2090330273
299	0.2087325294
300	0.2079070701
301	0.2073739775
302	0.2066318843
303	0.206131484
304	0.2051794061
305	0.2048178598
306	0.2041658476
307	0.2030820766
308	0.2020964605
309	0.2013631759
310	0.200461744
311	0.1997381604
312	0.1989813194
313	0.198418705
314	0.1977969495
315	0.1970952266
316	0.1968555938
317	0.1962731031
318	0.1956481897
319	0.195424409
320	0.1949794456
321	0.1942468045
322	0.1935518785
323	0.1929936497
324	0.1924154388
325	0.1920881937
326	0.1913793988
327	0.1911461211
328	0.190476291
329	0.1899390477
330	0.1890010617
331	0.1887645413
332	0.1881169065
333	0.1879032459
334	0.1872686369
335	0.1865823622
336	0.1860702208
337	0.1858898053
338	0.1852368015
339	0.184855791
340	0.184460754
341	0.1839863259
342	0.1835973623
343	0.1830032797
344	0.1827735847
345	0.182172109
346	0.1818160034
347	0.1815608517
348	0.1810014796
349	0.1807838384
350	0.1806487224
351	0.18024811
352	0.179768674
353	0.1789676064
354	0.1785890586
355	0.1783737714
356	0.1779530722
357	0.1778519437
358	0.1771181286
359	0.1769622813
360	0.1767365582
361	0.1765230085
362	0.1755660798
363	0.1754516255
364	0.1750601249
365	0.1748547512
366	0.1740937391
367	0.1739319604
368	0.1737576016
369	0.1733231158
370	0.1731344456
371	0.172949705
372	0.1726271491
373	0.1723939723
374	0.1720210029
375	0.1715140933
376	0.1711141154
377	0.1710104885
378	0.1709097414
379	0.1705743151
380	0.1703512466
381	0.1701431794
382	0.1699319088
383	0.169561096
384	0.1693559879
385	0.1687719389
386	0.1686782128
387	0.1682111087
388	0.1680142982
389	0.1672878705
390	0.1665513563
391	0.1664585409
392	0.1662594266
393	0.165828521
394	0.1655795464
395	0.1654826835
396	0.1653296788
397	0.1652379692
398	0.1646807229
399	0.1642129179
400	0.1636768195
401	0.1636166211
402	0.1630126009
403	0.1629422759
404	0.1624830325
405	0.1620317048
406	0.16161258
407	0.1606237326
408	0.1605388903
409	0.1603597549
410	0.1597921483
411	0.1597288092
412	0.1589729892
413	0.1581594706
414	0.1577467348
415	0.1574527228
416	0.1572960912
417	0.1565938017
418	0.1558856132
419	0.1556538337
420	0.1549984662
421	0.1545618555
422	0.1539478812
423	0.1531670554
424	0.1530041548
425	0.1525994627
426	0.1520668768
427	0.1515829679
428	0.151220867
429	0.1506477953
430	0.1504740522
431	0.1500932874
432	0.1495172605
433	0.149203114
434	0.1486305388
435	0.147962123
436	0.1474925329
437	0.1474192847
438	0.146843209
439	0.1466009022
440	0.1462503957
441	0.1456460722
442	0.1451540498
443	0.1448811837
444	0.1445444481
445	0.1439883718
446	0.1435893565
447	0.1429618848
448	0.1425096197
449	0.1422525959
450	0.1415648386
451	0.1413469922
452	0.140902572
453	0.1404810635
454	0.1403277607
455	0.13988637
456	0.1391383471
457	0.1387856588
458	0.1385098305
459	0.1380798948
460	0.1377091936
461	0.1373375134
462	0.1367025412
463	0.1364479409
464	0.1358642874
465	0.1354516388
466	0.1349276608
467	0.1343825354
468	0.13431961
469	0.134208037
470	0.1340751785
471	0.1337924567
472	0.1335604774
473	0.1330940812
474	0.1329535612
475	0.1325963199
476	0.1324554882
477	0.1320534091
478	0.1316277325
479	0.1313596187
480	0.1311369542
481	0.1306497602
482	0.1303680137
483	0.1299867826
484	0.1298521745
485	0.129412425
486	0.1288542569
487	0.1284955413
488	0.1284271996
489	0.1280362928
490	0.1275870103
491	0.1275020952
492	0.1268805383
493	0.126492543
494	0.1259331703
495	0.1257853012
496	0.1255369948
497	0.1253197366
498	0.1252468066
499	0.1246362367
500	0.1242717845
501	0.1239120077
502	0.1236063772
503	0.1231321507
504	0.122796028
505	0.1224440631
506	0.1220482464
507	0.121609564
508	0.1210314145
509	0.1205802749
510	0.120195152
511	0.1200176306
512	0.1194368724
513	0.1192336266
514	0.1187914704
515	0.1184182114
516	0.1180927615
517	0.1176348115
518	0.1172035157
519	0.1170171204
520	0.1166749071
521	0.1165623449
522	0.1163347897
523	0.1161266688
524	0.1156379603
525	0.1149897727
526	0.1147342474
527	0.1144569134
528	0.1138837349
529	0.1134361435
530	0.1129864482
531	0.1124799722
532	0.1118870519
533	0.1113880061
534	0.1109713057
535	0.1106054977
536	0.1102495665
537	0.1101279728
538	0.1097168287
539	0.1095004483
540	0.1093294601
541	0.1089091991
542	0.1087074553
543	0.1083855409
544	0.1082423427
545	0.1078855741
546	0.1076383334
547	0.1075480431
548	0.1072483757
549	0.1068855405
550	0.1064545721
551	0.1063932175
552	0.1059897533
553	0.1055233578
554	0.1050794489
555	0.1049380431
556	0.1048290029
557	0.1044162814
558	0.1040705556
559	0.1039783239
560	0.1038113506
561	0.1034039611
562	0.1031691436
563	0.1027672948
564	0.1024295212
565	0.1022069736
566	0.1018079467
567	0.1016552528
568	0.1012075155
569	0.1010462318
570	0.1008062047
571	0.1004900593
572	0.1002597014
573	0.09999964304
574	0.09992926686
575	0.09963366951
576	0.09925915163
577	0.09883528104
578	0.09870431817
579	0.0983561632
580	0.09813847143
581	0.09790493852
582	0.09759381653
583	0.09731474068
584	0.09706439758
585	0.09697414634
586	0.09666608615
587	0.09621062414
588	0.09578431717
589	0.09533980644
590	0.09509784296
591	0.09482050027
592	0.09447434047
593	0.09417702347
594	0.09402189451
595	0.09391433052
596	0.09365752295
597	0.09336696377
598	0.09299057989
599	0.09271553771
600	0.09236124342
601	0.09210974457
602	0.09199454758
603	0.09185819638
604	0.09173877872
605	0.09148048731
606	0.09108851865
607	0.09090268903
608	0.09054585673
609	0.09012976235
610	0.0897824067
611	0.08970027159
612	0.08936013078
613	0.08907087224
614	0.08882645444
615	0.08850842496
616	0.08814124342
617	0.08781579267
618	0.08743672408
619	0.08712515927
620	0.08709204047
621	0.08686450812
622	0.08679298779
623	0.08651981963
624	0.08635612628
625	0.08599499695
626	0.08567437716
627	0.08538959569
628	0.08512632779
629	0.08509221866
630	0.08505072237
631	0.08480651238
632	0.08463410706
633	0.08446991821
634	0.08415301474
635	0.0838797497
636	0.08364850971
637	0.08339388832
638	0.08336714191
639	0.0831242966
640	0.08296412263
641	0.08272980634
642	0.08255364731
643	0.08241906709
644	0.08218121141
645	0.08197549444
646	0.0817082951
647	0.08163388174
648	0.08122062168
649	0.08099924614
650	0.08094284192
651	0.080714781
652	0.08054550689
653	0.08033858369
654	0.08029285641
655	0.08009537738
656	0.0800588881
657	0.07988338923
658	0.07967386809
659	0.07946412134
660	0.07922654077
661	0.0790573764
662	0.07876990852
663	0.07849075838
664	0.07846234551
665	0.07815418724
666	0.07788220077
667	0.07765504948
668	0.07739615534
669	0.07716336643
670	0.07714474998
671	0.07695534485
672	0.07690065984
673	0.07668130094
674	0.07655504484
675	0.07636287528
676	0.07609079954
677	0.07586777259
678	0.07563149132
679	0.07544722717
680	0.07513409181
681	0.07484516966
682	0.07467442577
683	0.07444934996
684	0.07419804246
685	0.073936347
686	0.07369841829
687	0.07342754673
688	0.0731388659
689	0.07309882374
690	0.07283027654
691	0.07270056777
692	0.07247659527
693	0.07216005431
694	0.07199626528
695	0.07170093712
696	0.07155867935
697	0.07137214236
698	0.0711654442
699	0.07098237007
700	0.07082104484
701	0.07073203395
702	0.07051179873
703	0.07031913534
704	0.07007827809
705	0.06983505824
706	0.06962753488
707	0.06955449477
708	0.06927355556
709	0.06900074281
710	0.06867046657
711	0.06842470885
712	0.06832310568
713	0.06821781509
714	0.06800965861
715	0.06784980775
716	0.06752908662
717	0.06720873916
718	0.0671200758
719	0.06697076826
720	0.06675746459
721	0.06652229539
722	0.06640003289
723	0.06623899167
724	0.06609028756
725	0.06595020283
726	0.06575563836
727	0.06558224089
728	0.06531606781
729	0.06510375852
730	0.06496060968
731	0.06477244497
732	0.06461381439
733	0.06458657266
734	0.0644926706
735	0.06433065076
736	0.06420282197
737	0.06402367456
738	0.06388226756
739	0.06352499392
740	0.06332406908
741	0.0631272178
742	0.06299453609
743	0.06281476092
744	0.06269000728
745	0.06249791764
746	0.06243797938
747	0.06228690126
748	0.06211393755
749	0.06191683559
750	0.06173870791
751	0.06163692976
752	0.06137272026
753	0.06115846685
754	0.06097527309
755	0.0608008768
756	0.06060868132
757	0.06058263195
758	0.06040309895
759	0.06032456167
760	0.06027520461
761	0.06015591879
762	0.06001735628
763	0.0598810298
764	0.05971300427
765	0.05957195154
766	0.0594544168
767	0.0593199936
768	0.05913226942
769	0.05906663113
770	0.05892903571
771	0.05886405966
772	0.05867887531
773	0.05843427174
774	0.05835778927
775	0.05814452597
776	0.05799111124
777	0.0578902601
778	0.05782307275
779	0.0576233736
780	0.05754697723
781	0.05733128273
782	0.0571702139
783	0.05716014811
784	0.05702890936
785	0.05686771479
786	0.05683895819
787	0.0567142174
788	0.05653686821
789	0.05650047999
790	0.05635204356
791	0.05625504703
792	0.05622719892
793	0.05613822121
794	0.05592785685
795	0.05572495265
796	0.05555017792
797	0.05542608588
