iter	Passed	Remaining
0	6	6723
1	20	10028
2	28	9368
3	32	7998
4	34	6869
5	39	6580
6	42	6077
7	47	5893
8	49	5458
9	51	5137
10	55	4952
11	60	4965
12	62	4752
13	65	4623
14	70	4600
15	72	4445
16	74	4334
17	77	4250
18	80	4165
19	83	4078
20	86	4052
21	89	3966
22	92	3929
23	95	3895
24	98	3843
25	101	3792
26	103	3743
27	106	3683
28	108	3633
29	110	3574
30	114	3575
31	116	3532
32	118	3471
33	119	3409
34	121	3362
35	124	3321
36	126	3297
37	128	3264
38	140	3471
39	143	3443
40	146	3433
41	148	3390
42	150	3350
43	153	3325
44	154	3283
45	156	3250
46	158	3211
47	160	3188
48	162	3160
49	164	3128
50	166	3100
51	168	3065
52	170	3038
53	171	3011
54	175	3010
55	177	2990
56	179	2972
57	182	2967
58	184	2947
59	187	2934
60	189	2923
61	191	2904
62	194	2886
63	196	2868
64	198	2858
65	201	2847
66	203	2834
67	206	2835
68	208	2818
69	210	2795
70	212	2781
71	214	2767
72	216	2750
73	218	2731
74	220	2723
75	222	2704
76	224	2687
77	225	2665
78	227	2647
79	228	2632
80	230	2616
81	232	2608
82	235	2605
83	237	2587
84	238	2572
85	240	2557
86	243	2551
87	244	2537
88	246	2526
89	248	2513
90	249	2495
91	251	2482
92	252	2466
93	254	2452
94	255	2436
95	257	2423
96	258	2408
97	260	2396
98	262	2386
99	264	2377
100	265	2363
101	267	2353
102	268	2338
103	270	2327
104	271	2315
105	273	2305
106	276	2307
107	278	2301
108	280	2291
109	281	2279
110	283	2267
111	284	2254
112	285	2241
113	287	2231
114	289	2226
115	290	2214
116	292	2205
117	294	2198
118	296	2193
119	297	2182
120	299	2172
121	300	2162
122	302	2154
123	303	2147
124	305	2139
125	307	2131
126	308	2120
127	310	2113
128	311	2106
129	313	2097
130	314	2089
131	316	2078
132	317	2069
133	319	2064
134	321	2060
135	323	2052
136	324	2043
137	326	2038
138	327	2030
139	329	2021
140	330	2016
141	332	2011
142	334	2004
143	337	2003
144	338	1996
145	340	1989
146	341	1984
147	343	1978
148	346	1977
149	348	1973
150	350	1969
151	352	1964
152	353	1958
153	355	1954
154	356	1946
155	358	1941
156	368	1977
157	369	1969
158	371	1962
159	372	1955
160	373	1946
161	375	1940
162	376	1933
163	377	1926
164	379	1919
165	380	1913
166	382	1905
167	383	1899
168	384	1891
169	385	1883
170	387	1876
171	389	1872
172	390	1865
173	391	1857
174	392	1850
175	393	1843
176	395	1836
177	396	1830
178	398	1825
179	399	1818
180	400	1811
181	401	1804
182	402	1797
183	403	1791
184	405	1785
185	406	1779
186	407	1773
187	409	1766
188	410	1761
189	411	1754
190	412	1748
191	414	1742
192	415	1736
193	416	1730
194	417	1725
195	418	1718
196	420	1713
197	421	1707
198	422	1701
199	424	1697
200	425	1693
201	427	1687
202	428	1682
203	429	1676
204	430	1670
205	432	1665
206	433	1659
207	434	1654
