iter	RMSE
0	2.309980454
1	2.300035648
2	2.288754663
3	2.279854309
4	2.269732994
5	2.2606131
6	2.24993587
7	2.242560183
8	2.233443443
9	2.224709791
10	2.215557046
11	2.206752025
12	2.198569437
13	2.192423132
14	2.186776165
15	2.180852744
16	2.175516629
17	2.170679852
18	2.164852989
19	2.159779709
20	2.155619654
21	2.151777873
22	2.148540423
23	2.143778967
24	2.139224154
25	2.134206632
26	2.130369492
27	2.126290006
28	2.124251581
29	2.121955314
30	2.11881297
31	2.115708003
32	2.114155776
33	2.111692003
34	2.108983322
35	2.106398229
36	2.103764834
37	2.101539768
38	2.098491179
39	2.094913736
40	2.092514535
41	2.090620357
42	2.088421769
43	2.087519604
44	2.085588329
45	2.083851474
46	2.082136893
47	2.080051255
48	2.078945544
49	2.076876309
50	2.073764796
51	2.072414791
52	2.071344029
53	2.068728523
54	2.064984947
55	2.063308078
56	2.061437727
57	2.059267446
58	2.056370233
59	2.055651988
60	2.054807254
61	2.053611969
62	2.053031842
63	2.052352844
64	2.051296833
65	2.049275653
66	2.046943701
67	2.045932979
68	2.045459283
69	2.044348597
70	2.043990186
71	2.042820375
72	2.041223914
73	2.040882004
74	2.039910358
75	2.037022591
76	2.035103571
77	2.033481558
78	2.033023723
79	2.032414438
80	2.03169507
81	2.031087257
82	2.030518616
83	2.030002758
84	2.028726708
85	2.028064613
86	2.027687128
87	2.026832251
88	2.026116161
89	2.025034922
90	2.024376948
91	2.024034883
92	2.023184499
93	2.022496155
94	2.022149648
95	2.02170322
96	2.020739398
97	2.020114809
98	2.019645027
99	2.018147337
100	2.016832606
101	2.016192694
102	2.015228416
103	2.014349608
104	2.013988751
105	2.01298786
106	2.012606731
107	2.012082525
108	2.009906962
109	2.009351865
110	2.008949936
111	2.007903619
112	2.006856562
113	2.006362295
114	2.005390453
115	2.004776985
116	2.004606075
117	2.003979294
118	2.003613173
119	2.003079497
120	2.002657693
121	2.001315327
122	2.000853796
123	1.999695959
124	1.99930729
125	1.998799335
126	1.998377053
127	1.997342352
128	1.996745594
129	1.996242859
130	1.995724403
131	1.995206336
132	1.995088029
133	1.994034301
134	1.993209304
135	1.992688608
136	1.990959473
137	1.990461202
138	1.989924776
139	1.989527779
140	1.988564793
141	1.987442602
142	1.986258366
143	1.984821063
144	1.98345657
145	1.982005581
146	1.980608225
147	1.980296924
148	1.978760738
149	1.977747109
150	1.977494634
151	1.976181431
152	1.974872557
153	1.974164989
154	1.973382838
155	1.972991062
156	1.972682604
157	1.971528888
158	1.970304957
159	1.969453966
160	1.969211028
161	1.967858377
162	1.966994548
163	1.966004242
164	1.965536007
165	1.964860901
166	1.96418783
167	1.9629597
168	1.9620036
169	1.961515922
170	1.960488799
171	1.959794207
172	1.959346464
173	1.958525451
174	1.957355837
175	1.956450196
176	1.955991538
177	1.955884483
178	1.955042679
179	1.953969068
180	1.953513936
181	1.952922588
182	1.952175588
183	1.950832489
184	1.949891027
185	1.948963515
186	1.947603798
187	1.946750403
188	1.946191407
189	1.94565121
190	1.945017029
191	1.944691854
192	1.943401847
193	1.943092005
194	1.941651995
195	1.941350649
196	1.940999549
197	1.940203984
198	1.938774291
199	1.937675785
200	1.937113416
201	1.936564432
202	1.935584354
203	1.935223602
204	1.934531101
205	1.934136857
206	1.932412978
207	1.931618681
208	1.929776645
209	1.928834476
