iter	Passed	Remaining
0	0	206
1	0	194
2	0	204
3	0	198
4	0	194
5	1	189
6	3	459
7	5	651
8	5	631
9	6	604
10	6	565
11	6	541
12	8	652
13	8	621
14	9	597
15	14	889
16	14	850
17	14	812
18	15	777
19	26	1303
20	28	1335
21	28	1282
22	30	1292
23	31	1271
24	33	1288
25	33	1248
26	33	1215
27	33	1177
28	34	1141
29	34	1109
30	34	1077
31	35	1063
32	35	1036
33	35	1018
34	36	999
35	36	975
36	39	1016
37	39	1006
38	39	983
39	40	962
40	40	944
41	40	928
42	41	915
43	41	903
44	41	886
45	42	881
46	42	868
47	43	858
48	43	843
49	43	829
50	43	817
51	44	808
52	44	796
53	44	783
54	44	771
55	45	760
56	45	750
57	45	742
58	45	733
59	46	724
60	46	717
61	46	709
62	47	700
63	47	692
64	47	683
65	47	675
66	47	666
67	48	659
68	48	652
69	48	644
70	48	637
71	49	634
72	49	630
73	52	662
74	53	657
75	53	650
76	53	645
77	54	638
78	54	631
79	54	625
80	54	618
81	54	614
82	55	609
83	55	603
84	55	599
85	55	593
86	56	588
87	56	584
88	56	580
89	56	576
90	57	571
91	57	566
92	57	562
93	58	559
94	58	555
95	58	553
96	58	548
97	59	543
98	59	539
99	59	536
100	59	532
101	59	528
102	60	524
103	60	523
104	61	526
105	62	525
106	63	528
107	63	525
108	63	522
109	64	518
110	64	514
111	64	511
112	64	507
113	64	503
114	65	500
115	65	496
116	65	493
117	65	490
118	65	487
119	65	483
120	66	480
121	66	477
122	66	474
123	66	471
124	66	468
125	67	465
126	67	462
127	67	459
128	67	457
129	68	455
130	68	453
131	68	450
132	68	448
133	68	445
134	69	443
135	69	441
136	69	440
137	70	438
138	70	436
139	70	434
140	70	432
141	71	430
142	71	431
143	72	429
144	72	426
145	72	424
146	72	422
147	73	422
148	73	420
149	73	418
150	74	418
151	74	416
152	74	414
153	75	413
154	75	411
155	75	409
156	75	407
157	76	405
158	76	403
159	76	401
160	77	402
161	77	401
162	77	399
163	77	397
164	78	399
165	79	397
166	80	400
167	80	398
168	80	396
169	80	394
170	81	393
171	81	391
172	81	390
173	82	389
174	82	387
175	82	386
176	82	385
177	83	383
178	83	381
179	83	379
180	83	378
181	83	376
182	83	374
183	84	373
184	84	372
185	84	370
186	84	369
187	85	367
188	85	366
189	85	365
190	85	363
191	86	361
192	86	361
193	86	360
194	87	359
195	87	357
196	87	356
197	87	354
198	88	354
199	88	353
200	88	352
201	89	352
202	89	351
203	89	349
204	89	349
205	90	348
206	90	346
207	90	345
208	91	344
209	91	343
210	91	341
211	91	340
212	91	339
213	91	337
214	92	336
215	92	334
216	92	333
217	92	332
218	92	331
219	93	330
220	93	328
221	93	327
222	93	326
223	93	325
224	94	324
225	94	323
226	94	322
227	95	322
228	95	321
229	95	321
230	96	320
231	96	319
232	96	318
233	96	317
234	97	316
235	97	315
236	97	313
237	97	313
238	98	312
239	98	310
240	98	309
241	98	309
242	98	308
243	99	307
244	99	305
245	99	304
246	99	303
247	99	302
248	100	302
249	100	300
250	100	299
251	100	299
252	100	298
253	101	297
254	101	296
255	101	295
256	101	294
257	102	293
258	102	292
259	102	291
260	102	290
261	102	289
262	103	288
263	103	287
264	103	286
265	103	286
266	104	285
267	104	284
268	104	283
269	104	282
270	104	282
271	105	281
272	105	281
273	105	280
274	105	279
275	106	278
276	106	277
277	106	276
278	106	275
279	106	275
280	107	274
281	107	273
282	107	272
283	107	271
284	108	271
285	108	270
286	108	269
287	108	268
288	108	267
289	109	266
290	109	266
291	109	265
292	109	264
293	110	264
294	110	264
295	110	263
296	110	262
297	111	261
298	111	261
299	111	260
300	111	259
301	111	258
302	112	257
303	112	256
304	112	256
305	112	255
306	112	254
307	113	253
308	113	253
309	113	252
310	113	252
311	113	251
312	114	250
313	114	249
314	114	249
315	114	248
316	115	248
317	115	248
318	115	247
319	116	246
320	116	246
321	116	245
322	116	244
323	117	244
324	117	243
325	117	243
326	117	242
327	118	242
328	118	241
329	118	241
330	119	240
331	119	239
332	119	239
333	119	238
334	119	237
335	119	237
